seqn,total_count
33727,2377135
33728,5029917
33730,1737645
33731,729526
33732,2885824
33733,34827
33734,3587702
33736,1882313
33737,2772001
33738,1009889
33740,227014
33741,1086147
33743,1094
33745,1526309
33746,1499027
33747,1327842
33748,260620
33750,2133054
33753,1426346
33754,2040059
33755,3053
33756,1840870
33757,1173864
33761,1489160
33765,1665979
33768,425060
33770,116177
33771,1531923
33773,4186614
33774,98883
33777,2239526
33778,2942171
33779,95408
33780,1102789
33781,3942789
33782,3468316
33783,1402073
33784,1321405
33786,2770611
33787,1692635
33788,2221106
33789,786821
33790,2957201
33792,1036283
33793,795370
33796,617970
33797,621560
33798,2904535
33801,2851864
33802,3458537
33803,884745
33805,1068152
33806,1149097
33808,719060
33809,1119203
33810,1651483
33812,117403
33814,923578
33815,2657979
33816,2888183
33817,1384867
33818,5877840
33819,565627
33821,3492868
33823,1674512
33824,2371619
33825,1788749
33827,2453306
33828,2818427
33830,1625456
33831,2420417
33833,1691503
33835,2296713
33836,957649
33838,1239246
33839,1670522
33840,1566563
33841,182118
33842,1292063
33844,1909655
33845,1188378
33846,2708376
33847,1058569
33848,2959261
33850,528724
33851,3460401
33852,1126613
33853,793499
33854,1664493
33855,2176075
33857,1865954
33860,4043070
33861,729110
33863,2533802
33864,1595197
33866,1180379
33867,84234
33870,3044469
33871,548855
33872,1111360
33876,4527498
33877,1302654
33880,2723641
33884,3004857
33885,1907199
33886,1718457
33888,421068
33889,3131854
33890,2612669
33892,1327905
33894,1875692
33895,659021
33899,1096222
33900,2634381
33902,4234983
33904,832982
33910,1184520
33911,1030370
33912,700669
33913,1852535
33914,461230
33916,227463
33917,2415416
33918,1490550
33920,1212830
33922,411145
33924,943136
33926,3522966
33928,1711088
33929,2019948
33930,1445030
33931,1928405
33932,2346320
33934,1801027
33935,2035489
33936,2245816
33938,958601
33941,663360
33942,1498443
33944,993510
33945,726173
33947,2236286
33948,1320106
33949,5488220
33951,641714
33952,1409855
33954,1529739
33955,860577
33956,995368
33958,3625935
33959,1469398
33960,1114743
33961,703355
33963,1073516
33965,786
33966,580113
33967,2034389
33968,1824726
33969,789572
33971,1011848
33972,888473
33974,2762252
33975,868741
33976,1291734
33977,2003
33978,3465434
33981,615247
33982,3792010
33983,64145
33985,464928
33986,2086510
33987,1498896
33988,1027856
33989,6316408
33990,159801
33992,3228068
33993,2625771
33994,1889428
33995,1491354
33998,199637
34000,1058272
34001,251565
34002,645850
34003,2633934
34004,7326
34005,3623812
34006,946095
34007,2412846
34008,2946656
34009,1104987
34010,1217544
34011,662103
34012,731891
34013,9964
34014,2617703
34015,255178
34016,20999
34017,515698
34020,6659943
34021,847757
34022,2360688
34023,2431958
34026,2127749
34027,1597053
34028,2507352
34029,1247870
34030,2373934
34031,918121
34032,687971
34035,3845651
34036,227467
34037,1908013
34038,2391786
34040,327853
34041,993933
34042,965115
34043,701045
34044,3694353
34046,4033054
34047,1826496
34050,1402905
34051,1424732
34052,1306618
34054,1100550
34056,26084
34057,2809046
34058,936667
34059,1958949
34060,1210059
34061,1673304
34062,921418
34063,417679
34064,705688
34066,3474399
34067,3127489
34068,419048
34069,895733
34070,2447569
34071,3116075
34073,1587689
34074,609168
34078,846288
34079,1003116
34080,1907348
34082,1746152
34083,2219271
34084,608286
34085,1995612
34087,1291688
34088,1472684
34090,1667920
34091,2533348
34092,2293209
34093,724958
34094,1407178
34095,1364594
34096,801117
34097,1572709
34098,3798592
34099,6411
34100,1232273
34101,1786200
34102,2945256
34105,4002302
34107,1549645
34108,1031316
34109,1901273
34111,1839784
34113,3146019
34114,1668673
34116,985702
34117,2644389
34118,1845355
34120,1858925
34121,1990795
34122,732734
34123,2383781
34124,2256778
34126,912814
34127,553877
34128,2732433
34129,1294878
34131,1409905
34132,1902794
34133,2184225
34134,1176469
34135,1142940
34136,1281203
34137,376599
34138,1869537
34140,1626724
34141,1300055
34142,3266732
34144,3238302
34145,2727857
34146,4864853
34147,1273510
34148,1127655
34150,1356410
34151,10251210
34152,1244116
34154,1207750
34155,2408502
34156,2459805
34157,885313
34158,2043669
34161,1521901
34164,1076739
34165,1807536
34166,1755659
34167,185111
34168,391497
34169,1328623
34170,4011454
34171,3576872
34172,2395415
34173,238321
34175,593648
34176,1278542
34179,1940596
34180,1186321
34183,1714500
34184,24847
34186,1321659
34187,2352334
34188,1773265
34189,1167060
34191,2587698
34193,2959205
34194,1006089
34196,2632011
34198,2240599
34202,568324
34203,1011524
34204,3774469
34205,5433128
34206,1538710
34207,1931613
34209,1155968
34211,1347653
34212,1070680
34213,1189999
34214,2541383
34215,1284032
34217,2082438
34218,871498
34219,1146076
34220,1890616
34221,846668
34223,1987139
34225,3155230
34226,695002
34227,2507175
34228,1215439
34230,789030
34231,3260797
34233,2848105
34234,2655521
34239,635714
34240,2196643
34245,2643990
34247,1380347
34249,880284
34250,2763993
34251,2647640
34253,4577545
34254,1640410
34256,1625276
34263,1389581
34265,362903
34266,94699
